name,lat,lon,vars,star,end,accum_TCP_50Y,accum_TCP_1TC,TCP_p70,TCP_p80,TCP_p90,TCP_p95,TCP_p100,TCP_p99,num_record
USC00060973,41.7944,-72.9319,PRCP,1932,2020,3497.931080644021,4.091147462741545,49.55477396840595,57.47189429833793,74.64989286754461,95.91999999999996,197.4,191.33200000000002,75
USC00065445,41.9725,-73.2208,PRCP,1884,2020,3093.253631707855,3.617840504921468,47.68456076677903,57.12184906894291,83.8,101.475,147.3,145.48,66
USC00065910,41.5269,-72.0642,PRCP,1956,2020,3022.3834768890174,3.534951434957915,41.962698798514694,49.5,68.85117032167088,97.85,132.3,119.39999999999999,76
USC00068138,41.795,-72.2286,PRCP,1888,2020,3263.8691519798504,3.817390821029065,43.25092968747613,46.95188305605922,65.19707075303057,89.23999999999997,139.2,116.81399999999996,79
USC00072730,39.1467,-75.5056,PRCP,1893,2020,3173.7945540190285,3.712040414057343,39.35026040147452,45.77940372622942,65.86540232300197,73.945,134.6,116.92999999999986,94
USC00080228,27.2178,-81.8742,PRCP,1899,2020,6049.637106632621,7.075598955125873,31.92781195920273,36.0929382628755,49.686614581022106,66.94999999999999,181.1,133.95599999999993,215
USC00080236,27.1819,-81.3508,PRCP,1969,2020,6753.356295500847,7.89866233391912,31.364740084812226,33.66111168463825,46.58526005173435,73.61,154.2,134.4719999999997,247
USC00080369,27.5947,-81.5267,PRCP,1892,2020,4989.003536788912,5.835091855893465,31.487142519465486,34.66200313753557,44.02,57.199999999999974,175.3,93.10799999999992,197
USC00080478,27.8861,-81.8325,PRCP,1892,2020,6167.06962112917,7.212946925297275,31.51614491690445,35.62773957848457,52.715769239145516,68.56999999999998,210.3,115.474,223
USC00081276,26.8639,-80.6256,PRCP,1941,2020,5698.706758313556,6.665154103290709,32.9663501853819,39.018247508882716,55.120000000000005,88.35999999999996,212.9,145.88800000000072,177
USC00081544,30.7806,-85.5503,PRCP,1939,2020,5647.500298820529,6.605263507392431,35.71106416582937,40.61551081821803,62.6,109.65,205.7,172.62499999999997,156
USC00081641,28.4558,-81.7233,PRCP,1948,2020,5933.505928175628,6.939773015410091,31.76681714005271,36.898094251189136,52.900000000000006,76.8,175.3,126.3119999999999,209
USC00082008,29.6333,-83.1053,PRCP,1948,2020,6944.621874267647,8.122364765225319,33.24299249972777,40.120000000000026,70.9,95.71999999999997,189.0,157.32799999999997,213
USC00082229,29.0097,-81.2981,PRCP,1895,2020,6978.62743022754,8.162137345295369,31.91841111516431,37.6,58.03364984403207,76.2,177.8,141.90599999999998,243
USC00082288,27.3697,-81.5136,PRCP,1925,2020,5470.854676151354,6.398660439943105,31.214140272641387,33.18437861149512,47.400000000000034,68.23999999999991,242.3,100.01799999999996,203
USC00082298,26.6639,-81.09,PRCP,1956,2020,5515.374912771773,6.4507308921307285,31.785984518335127,35.75276547655147,48.3,76.2,165.1,102.1119999999999,193
USC00083020,25.1422,-80.9144,PRCP,1962,2020,5243.078399477497,6.1322554379853775,33.314665542127585,38.1,52.6,79.25,238.0,170.57000000000062,171
USC00083153,27.5728,-82.1392,PRCP,1948,2020,6047.447284460239,7.073037759602618,32.86870347587406,37.66531404702493,58.8,82.11999999999986,134.6,126.52,197
USC00083163,26.1019,-80.2011,PRCP,1912,2020,7775.760847212185,9.094457131242322,33.5,45.260000000000005,83.77999999999997,98.59999999999998,185.4,154.34399999999988,225
USC00083207,27.4419,-80.3508,PRCP,1901,2020,7517.005445102657,8.791819234038195,31.77066216490025,38.07993911951307,53.25,93.96999999999994,351.8,210.93399999999997,232
USC00083909,25.8175,-80.2858,PRCP,1940,2020,6282.012957536437,7.347383576066008,31.323839096748134,35.6,52.8,79.67500000000001,191.0,148.21499999999986,216
USC00084289,28.8028,-82.3128,PRCP,1899,2020,5830.123017324096,6.81885733020362,31.48199183179137,34.43087063724113,46.06000000000003,69.47999999999998,242.3,117.93799999999986,219
USC00084625,28.2764,-81.4239,PRCP,1948,2020,6132.522940347151,7.172541450698422,31.731954583646846,33.77814452584306,47.53,63.21360520753828,241.3,123.26400000000007,230
USC00085076,28.8728,-81.7844,PRCP,1958,2020,6864.579104216507,8.028747490311705,31.56526168907461,34.208922311007186,48.8,71.0,182.9,158.75,251
USC00085539,30.1064,-83.1819,PRCP,1949,2020,7332.37160431294,8.575873221418643,35.68600814784679,46.0,71.75,108.975,226.6,193.475,206
USC00085612,28.1136,-80.6539,PRCP,1937,2020,7204.681288613674,8.42652782293997,31.72959038443706,35.800000000000004,57.90000000000006,92.61999999999999,301.0,206.0840000000003,239
USC00085895,26.84,-81.0872,PRCP,1918,2020,6153.677302483457,7.197283394717494,30.888714465482202,33.204108712550386,44.90252954743226,57.37,296.4,107.44800000000002,239
USC00085973,27.9378,-81.5992,PRCP,1935,2020,6020.6677770547085,7.0417166983096005,32.01068907870104,35.2211265784598,50.500000000000014,71.27499999999999,152.4,136.89200000000008,214
USC00086065,27.2417,-82.3161,PRCP,1943,2020,7000.234292515865,8.18740852925832,33.461385243868015,40.40000000000001,57.2,79.64499999999992,222.3,147.59399999999982,228
USC00086078,26.1653,-81.6842,PRCP,1942,2020,6933.134932058099,8.108929745097193,33.46751194468912,40.02,63.5,84.07499999999996,208.0,130.50699999999995,228
USC00086240,30.5317,-86.4928,PRCP,1927,2020,7516.8750952495775,8.79166677806968,40.449999999999996,53.16000000000001,76.69000000000001,136.0249999999998,273.1,246.26999999999998,182
USC00087025,30.0986,-83.5742,PRCP,1897,2020,6558.295721896286,7.670521312159399,34.49881746971512,39.92562678888138,61.24000000000002,93.58999999999995,307.3,129.27200000000025,199
USC00087205,28.0208,-82.1386,PRCP,1893,2020,6358.1453951838685,7.43642736278815,31.293630727775895,34.10000000000001,51.1,92.95499999999984,166.4,153.64300000000003,220
USC00087397,26.9147,-81.9969,PRCP,1965,2020,6556.704213003448,7.668659898249647,33.09533069139003,38.1,62.25,83.19999999999999,262.9,123.73499999999997,216
USC00087429,30.5497,-84.5836,PRCP,1968,2020,3944.642611694643,4.613617089701337,35.56856649953818,40.72114784596208,62.68000000000006,74.38999999999999,196.9,117.83999999999999,127
USC00087760,25.3867,-80.5936,PRCP,1949,2020,6496.170296627517,7.5978599960555755,32.52152065080577,38.63732554178919,58.900000000000006,79.25999999999998,215.9,195.54099999999994,204
USC00087851,28.3378,-82.26,PRCP,1895,2020,7145.134257056432,8.356882171995826,33.48574554416146,40.1,60.6,85.27499999999999,235.5,169.925,226
USC00087982,28.8147,-81.2778,PRCP,1956,2020,6450.8178029431565,7.544816143793166,32.11048159733846,36.64,51.09999999999998,72.6649999999999,292.1,178.04000000000002,220
USC00088620,27.1897,-80.2397,PRCP,1935,2020,7094.894886415854,8.298122674170589,32.430848828741034,38.6,63.5,107.80000000000001,292.1,160.45,211
USC00088824,28.1522,-82.7539,PRCP,1892,2020,6600.212289440153,7.719546537356904,31.79425522666466,38.1,55.9,89.9,297.7,155.84000000000026,221
USC00088942,28.6242,-80.8169,PRCP,1901,2020,6555.950691279312,7.667778586291593,31.584275133121956,35.843866205414336,49.8,59.7,218.4,177.8079999999999,235
USC00089120,29.4081,-82.8189,PRCP,1956,2020,6604.359776407611,7.724397399307148,32.845077851444366,38.85471367692766,59.720000000000034,92.96,160.0,148.50800000000004,217
USC00089176,27.1006,-82.4364,PRCP,1927,2020,7018.4304726297805,8.2086906112629,32.51951128740508,37.16326312476869,57.24,90.32999999999998,300.2,164.17799999999994,219
USC00089219,27.6528,-80.4031,PRCP,1965,2020,7058.299063232465,8.255320541792358,31.842155273472933,36.05217074712023,51.70000000000001,88.25,190.8,173.11800000000005,239
USC00089401,27.5478,-81.7994,PRCP,1933,2020,5646.9361328880395,6.604603664196538,31.593239491247523,35.760000000000005,47.34000000000001,68.21999999999997,228.6,137.85999999999984,197
USC00089566,30.1192,-85.2042,PRCP,1901,2020,7067.975495528182,8.26663800646571,34.3,42.0435469662923,64.8,92.05000000000001,209.0,200.15000000000015,211
USC00090140,31.5339,-84.1489,PRCP,1892,2020,5396.998923293193,6.312279442448179,33.654364840759214,36.93202665763377,55.63,85.13999999999996,151.9,141.223,170
USC00090311,33.5572,-82.3369,PRCP,1961,2020,4179.7535743560775,4.888600671761494,38.51027955011938,50.8,64.92735294909087,89.64999999999996,241.3,232.11199999999954,108
USC00091266,32.375,-81.673,PRCP,1925,2020,5311.744173139503,6.212566284373688,37.35655058921002,42.83541727266402,61.79867898796647,81.72999999999999,142.2,118.00199999999958,159
USC00091500,31.1903,-84.2036,PRCP,1889,2020,5234.8593279515535,6.122642488832226,33.91054861589492,39.44,69.95,93.20999999999984,128.3,119.14999999999995,160
USC00092266,31.985,-83.7747,PRCP,1892,2020,4487.641915742175,5.2487039950200876,33.468697981293325,36.61509604260818,49.86,96.72000000000001,235.7,151.12799999999973,138
USC00092966,32.2003,-83.2058,PRCP,1892,2020,4218.518882908166,4.93394021392768,33.1613765809132,37.8,67.35,102.025,149.6,129.9,126
USC00093060,34.1408,-82.855,PRCP,1891,2020,4424.194955608027,5.174497024102956,40.55449604418185,49.8,58.100000000000016,84.21499999999997,170.2,112.7899999999999,122
USC00093538,31.8694,-81.6236,PRCP,1964,2020,5476.435586450194,6.405187820409584,35.28687788983807,40.18000000000001,59.48872912716483,78.57999999999997,307.3,177.38999999999976,159
USC00093754,31.9881,-81.9522,PRCP,1904,2020,4927.7853957818525,5.763491690972927,34.190008600820065,39.95520760723424,55.120000000000005,74.9199999999999,190.5,158.6,157
USC00094170,32.2842,-83.4681,PRCP,1892,2020,4684.63788358252,5.4791086357690295,33.93751471681906,39.43110301586966,56.89999999999998,76.73999999999997,184.9,118.38400000000006,145
USC00095314,33.0125,-82.3914,PRCP,1893,2020,4907.652072066525,5.7399439439374556,35.1619301010718,42.140599917072294,70.43000000000005,99.03499999999983,417.1,165.8569999999999,132
